extraction_id,status,source_id,source_date,weapon_or_archetype,weapon_hash,weapon_type,scope,change_type,old_body,new_body,body_delta_pct,old_crit,new_crit,crit_delta_pct,rpm,burst_count,charge_draw_ms,pvp_only,raw_bungie_text_or_paraphrase,assumptions,verification,notes
DMG-2026-01-27-001,Verified,SRC-2026-01-27-001,2026-01-27,All-Star perk,,Weapon Perk,PvP,Conditional damage multiplier,,,15%,,,15%,,,,Yes,All-Star grants a 15 percent multiplicative weapon damage bonus in PvP.,Conditional perk bonus while active.,Verified,
DMG-2025-12-02-001,Needs Verification,SRC-2025-12-02-001,2025-12-02,New Gear weapons,,Gear Bonus,Both,Conditional damage multiplier,,,5%,,,5%,,,,Unclear,Bonus weapon damage for New Gear weapons is now 5 percent.,Article does not label the bonus PvE-only so PvP confirmation is required.,Needs In-Game Test,
DMG-2025-12-02-002,Verified,SRC-2025-12-02-001,2025-12-02,Rapid-Fire Pulse Rifle,,Pulse Rifle,Both,Archetype damage,15,15.5,,27.75,27.9,,540,3,,Unclear,Rapid-Fire Pulse Rifles increased base damage from 15 to 15.5 and crit damage from 27.75 to 27.9.,Burst TTK requires burst cadence validation.,Needs Calculation,
DMG-2025-12-02-003,Needs Verification,SRC-2025-12-02-001,2025-12-02,Lightweight Shotgun,,Shotgun,Both,Pellet damage,22,23,,,,,80,1,,Unclear,Lightweight Shotguns increased damage per pellet from 22 to 23.,Pellet count and PvP scaling require in-game confirmation.,Needs In-Game Test,
DMG-2025-12-02-004,Needs Verification,SRC-2025-12-02-001,2025-12-02,Aggressive Shotgun,,Shotgun,Both,Pellet damage,26.7,28,,,,,55,1,,Unclear,Aggressive Shotguns increased damage per pellet from 26.7 to 28.,Pellet count and PvP scaling require in-game confirmation.,Needs In-Game Test,
DMG-2025-12-02-005,Verified,SRC-2025-12-02-001,2025-12-02,Pinpoint Slug Shotgun,,Shotgun,PvP,Damage scalar,,,-6%,,,-6%,65,1,,Yes,Pinpoint Slugs decreased damage against players by 6 percent.,Applies to player damage only.,Verified,
DMG-2025-12-02-006,Needs Verification,SRC-2025-12-02-001,2025-12-02,The Chaperone,3413860062,Shotgun,Both,Frame profile,,,,,,,,,,Unclear,The Chaperone changed to use the Rapid-Fire Slug frame damage and rate of fire profile.,Requires Rapid-Fire Slug profile extraction before calculating TTK.,Needs Source Check,
DMG-2025-07-29-001,Verified,SRC-2025-07-29-001,2025-07-29,Weapons stat,,Armor Stat,PvP,Stat damage bonus cap,0.06,0.05,-16.6667%,0.06,0.05,-16.6667%,,,,Yes,Reduced the maximum damage bonus from the Weapons stat against players from six percent to five percent.,This is the official PvP correction for WP max bonus.,Verified,
DMG-2025-07-15-001,Verified,SRC-2025-07-15-001,2025-07-15,Weapon Tiering,,Gear Tier,Both,Conditional damage multiplier,,,2-10%,,,2-10%,,,,Unclear,New tiered weapons benefit from New and Featured Gear Bonus gaining additional damage by tier from 2 percent to 10 percent.,Historical tier bonus appears superseded by Update 9.5.0 New Gear bonus language.,Needs Source Check,
DMG-2025-07-15-002,Verified,SRC-2025-07-15-001,2025-07-15,The Navigator,1441805468,Trace Rifle,PvP,Conditional damage multiplier,,,5%,,,5%,1000,1,,Yes,The Navigator gains a 5 percent PvP weapon damage bonus while the user has Woven Mail.,Conditional exotic bonus while the user has Woven Mail.,Verified,
DMG-2025-07-15-003,Verified,SRC-2025-07-15-001,2025-07-15,Ace of Spades,347366834,Hand Cannon,PvP,Exotic perk explosion damage,,,,,,15%,140,1,,Yes,Ace of Spades precision kill explosion damage against players increased by 15 percent.,Explosion damage only and does not change base bullet damage.,Verified,
DMG-2025-07-15-004,Needs Verification,SRC-2025-07-15-001,2025-07-15,Heavy Burst Shotguns,,Shotgun,PvP,Damage correction,,,,,,,,,,Unclear,Heavy Burst Shotguns now receive their intended damage buff from an earlier patch.,Requires earlier patch source and in-game pellet verification.,Needs Source Check,
DMG-2024-10-08-001,Verified,SRC-2024-10-08-001,2024-10-08,Heavy Grenade Launcher,,Grenade Launcher,PvP,Impact damage scalar,,,7-26%,,,7-26%,,,,Yes,In PvP Heavy GLs now deal approximately 7 percent to 26 percent more impact damage depending on Blast Radius.,Blast Radius dependent value is not a single fixed damage number.,Needs Calculation,
DMG-2024-10-08-002,Verified,SRC-2024-10-08-001,2024-10-08,Rapid-Fire Heavy Grenade Launcher,,Grenade Launcher,Both,Impact and detonation damage scalar,,,7%,,,7%,,,,Unclear,Rapid-Fire Heavy GLs increased impact and detonation damage by 7 percent.,Confirm exact PvP split before calculating TTK.,Needs In-Game Test,
DMG-2024-10-08-003,Verified,SRC-2024-10-08-001,2024-10-08,Rapid-Fire Sidearm,,Sidearm,PvP,Archetype crit damage,,,,39.9,40,,,1,,Yes,Rapid-Fire Sidearm critical hit damage changed from 39.9 to 40.,Official PvP Weapon Tuning table.,Verified,
DMG-2024-10-08-004,Verified,SRC-2024-10-08-001,2024-10-08,Adaptive Sidearm,,Sidearm,PvP,Archetype crit damage,,,,57.45,57.6,,,1,,Yes,Adaptive Sidearm critical hit damage changed from 57.45 to 57.6.,Official PvP Weapon Tuning table.,Verified,
