source_workbook,source_sheet,source_row,weapon_family,archetype,burst_count,burst_delay_sec,rpm,crit_damage,body_damage,optimal_ttk_ms,crit_shots,body_ttk_ms,body_shots,wp_to_boost_hsttk,reference_status,verification_policy
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,2,Scout Rifles,Rapid Fire,1,0,257.14,54.62,28,933.344,5,1866.687,9,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,3,Scout Rifles,Lightweight,1,0,200,64.46,38.01,900.0,4,1800.0,7,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,4,Scout Rifles,Precision,1,0,180,69.08,38.51,1000,4,1666.667,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,5,Scout Rifles,High Impact,1,0,150,84.41,42,800.0,3,2000,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,6,Scout Rifles,Aggressive,1,0,120,91.58,53.99,1000,3,2000,5,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,7,Pulse Rifles,Rapid Fire,3,0.067,540,27.79,15,800.667,9,1645.444,16,170,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,8,Pulse Rifles,Lightweight,3,0.067,450,31.48,19.7,934.667,8,1334.0,12,188,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,9,Pulse Rifles,Adaptive,3,0.067,385.71,36.44,22,823.229,7,1512.458,11,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,10,Pulse Rifles,High Impact,3,0.067,337.5,38.57,21.5,667.333,6,1690.222,11,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,11,Pulse Rifles,Aggressive Burst,4,0.067,450,30.23,15.49,734.333,8,1868.667,15,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,12,Pulse Rifles,Heavy Burst,2,0.067,327.27,42.61,23,800.339,6,1533.679,10,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,13,Pulse Rifles,Legacy PR-55,3,0.067,450,31.48,19.7,934.667,8,1334.0,12,188,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,14,Hand Cannons,Precision,1,0,180,70.61,45.3,1000,4,1666.667,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,15,Hand Cannons,Adaptive,1,0,138.46,79.85,44.5,866.676,3,2166.691,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,16,Hand Cannons,Aggressive,1,0,120,90.85,49.03,1000,3,2000,5,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,17,Hand Cannons,Heavy Burst,2,0.067,257.14,52.93,24,834.008,5,1933.687,10,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,18,Hand Cannons,Lightweight,1,0,138.46,79.85,44.5,866.676,3,2166.691,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,19,Hand Cannons,Spread Shot,,0,0,0,0,調査中,調査中,調査中,調査中,調査中,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,20,Auto Rifles,Rapid Fire,1,0,720,23.06,13.6,750.0,10,1333.333,17,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,21,Auto Rifles,Adaptive,1,0,600,26.38,15.03,800.0,9,1500.0,16,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,22,Auto Rifles,Precision,1,0,450,33.92,20,800.0,7,1466.667,12,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,23,Auto Rifles,High Impact,1,0,360,43.06,24,833.333,6,1500.0,10,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,24,Auto Rifles,Lightweight,1,0,720,23.06,13.6,750.0,10,1333.333,17,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,25,Auto Rifles,Lightweight,1,0,450,33.92,20,800.0,7,1466.667,12,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,26,Sidearms,Rapid Fire,1,0,450,39.64,25.11,666.667,6,1200.0,10,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,27,Sidearms,Adaptive,1,0,300,57.66,36.08,600.0,4,1200.0,7,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,28,Sidearms,Precision,1,0,257.14,64.17,40.15,700.008,4,1166.68,6,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,29,Sidearms,Adaptive Burst,3,0.067,490.91,36.44,20.09,689.888,7,1233.998,12,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,30,Sidearms,Heavy Burst,2,0.067,327.27,52.86,33.08,684.005,5,1050.674,7,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,31,Sidearms,Lightweight,1,0,360,49.6,31.04,666.667,5,1166.667,8,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,32,SMGs,Aggressive,1,0,720,23.87,13.6,750.0,10,1333.333,17,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,33,SMGs,Lightweight,1,0,900,20.26,10.6,733.333,12,1400.0,22,165,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,34,SMGs,Precision,1,0,600,26.45,16.55,800.0,9,1300.0,14,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,35,SMGs,Adaptive,1,0,900,19.73,11.5,733.333,12,1266.667,20,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,PrimaryWeapons,36,SMGs,MIDA Synergy,1,0,900,20.26,10.6,733.333,12,1400.0,22,165,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,2,Shotguns,Aggressive,12,0,54.55,29.58,26.7,0,8,0,9,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,3,Shotguns,Lightweight,12,0,81.82,24.38,22.01,0,10,0,11,181,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,4,Shotguns,Precision,12,0,66.67,25.49,23.01,0,10,0,10,105,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,5,Shotguns,Rapid Fire,12,0,138.46,22.17,20.01,0,11,0,12,163,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,6,Shotguns,Pinpoint Slug,1,0,66.67,316.15,180.15,0,1,899.955,2,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,7,Shotguns,Rapid Fire Slug,1,0,0,0,0,調査中,調査中,調査中,調査中,調査中,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,8,Shotguns,Shot Package,12,0,54.55,29.58,26.7,0,8,0,9,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,9,Shotguns,Heavy Burst,2,0.067,62.07,184.16,104.94,67.0,2,1100.651,3,なし,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,11,Weapon,Archetype,Burst,,Charge,,"Body
Damage",,,"Body Shot
Time-to-Kill
(sec)","BS
to Kill",,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,12,Fusion Rifles,Rapid Fire,9,0.05,500,,34.62,,,510.0,7,,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,13,Fusion Rifles,Precision,7,0.05,783,,48.15,,,396.743,5,,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,14,Fusion Rifles,Adaptive,7,0.05,667,,46.31,,,370.09,5,,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,15,Fusion Rifles,High Impact,5,0.05,967,,79.23,,,225.905,3,,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,SpecialWeapons,16,Fusion Rifles,Aggressive,7,0.05,667,,53.99,,,370.09,5,,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,2,Scout Rifles,Rapid Fire,1,0,257.14,54.62,28,33600.0,0.9333437038189314,5000,1.8666874076378628,9,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,3,Scout Rifles,Lightweight,1,0,200,64.46,38.01,45612.0,0.8999999999999999,4000,1.7999999999999998,7,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
D2WP_boost_ver1.02.xlsx,GutshotStraight,4,Scout Rifles,Precision,1,0,180,69.08,38.51,46212.0,1,4000,1.6666666666666665,6,DrYamaHiro reference only,Do not apply to PvP Potential until checked against Bungie/API/patch-note primary sources.
