source_id,status,source_date,article_type,title,url,sandbox_version,scope,pvp_damage_mention,weapons_mentioned,summary,extractor,last_checked,notes
SRC-2026-06-09-001,Backlog,2026-06-09,Patch Notes,Monument of Triumph launch notes,TBD,post-2026-06-09,Both,,,"Replace with official Bungie source after final update.",,,
SRC-2026-05-21-001,Extracted,2026-05-21,TWID,Destiny 2: Every End is a New Beginning,https://www.bungie.net/7/en/News/Article/d2_may_21_2026,pre-2026-06-09,Both,Unclear,Various Exotic weapons,"Final update planning source mentions future Exotic weapon tuning and Crucible balance but no exact PvP damage values.",Codex,2026-05-25,
SRC-2026-05-05-001,Skipped,2026-05-05,Update,Destiny 2 Update 9.5.6.3,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_6_3,update-9.5.6.3,PvP,No,Triple Laureate,Triple Laureate was re-enabled in PvP but no weapon damage value was changed.,Codex,2026-05-25,
SRC-2026-04-14-001,Skipped,2026-04-14,Update,Destiny 2 Update 9.5.6.2,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_6_2,update-9.5.6.2,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-03-31-001,Skipped,2026-03-31,Update,Destiny 2 Update 9.5.6.1,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_6_1,update-9.5.6.1,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-03-24-001,Skipped,2026-03-24,Update,Destiny 2 Update 9.5.6,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_6,update-9.5.6,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-03-10-001,Extracted,2026-03-10,Update,Destiny 2 Update 9.5.5.5,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5_5,update-9.5.5.5,Both,Unclear,Weapon Foundry Sponsorships,Foundry Sponsorships were fixed but no explicit damage value was provided.,Codex,2026-05-25,
SRC-2026-03-03-001,Skipped,2026-03-03,Update,Destiny 2 Update 9.5.5.4,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5_4,update-9.5.5.4,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-02-24-001,Extracted,2026-02-24,Update,Destiny 2 Update 9.5.5.3,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5_3,update-9.5.5.3,Both,Unclear,Weapon foundry overcharges,Weapon foundry overcharges were fixed in Arena Ops and the Shooting Range but no explicit PvP damage value was provided.,Codex,2026-05-25,
SRC-2026-02-10-001,Skipped,2026-02-10,Update,Destiny 2 Update 9.5.5.2,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5_2,update-9.5.5.2,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-02-03-001,Skipped,2026-02-03,Update,Destiny 2 Update 9.5.5.1,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5_1,update-9.5.5.1,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2026-01-27-001,Extracted,2026-01-27,Update,Destiny 2 Update 9.5.5,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_5,update-9.5.5,PvP,Yes,All-Star,All-Star grants a 15 percent multiplicative weapon damage bonus in PvP.,Codex,2026-05-25,
SRC-2026-01-13-001,Skipped,2026-01-13,Update,Destiny 2 Update 9.5.0.5,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0_5,update-9.5.0.5,Both,No,,No PvP weapon damage value found in latest update scan.,Codex,2026-05-25,
SRC-2025-12-16-001,Extracted,2025-12-16,Update,Destiny 2 Update 9.5.0.3,https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0_3,update-9.5.0.3,Both,Unclear,Anti-Barrier Sniper,Anti-Barrier Sniper was fixed after increasing Sniper Rifle damage in many activities but no explicit PvP value was provided.,Codex,2026-05-25,
